PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
"Sawit bertandan jatuh ke tanah; Isinya baik, petiknya senang; Hancurnya badan dikandung tanah, Budi yang baik tetap dikenang.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,,,dan,ik,dan,ik,nah,nang,nah,nang,25.0,"Isinya, senang;, tanah;, yang, Budi, dikenang., baik, bertandan, Hancurnya, tanah,, petiknya, tetap, baik,, dikandung, Sawit, badan, ke, jatuh"
"Kucing Anggora punya Pak Amat, Warna putih berbulu lebat, Bergegas segera di hari Jumat, Iman terlatih jangan terlambat.",Agusnadi Talah,Pantun Harian Dr. Agusnadi Talah,Agama,Nasihat,ra,tih,ra,tih,mat,bat,mat,bat,23.0,"hari, Iman, segera, Bergegas, jangan, Anggora, terlatih, putih, lebat,, terlambat., punya, Jumat,, Warna, Pak, Amat,, di, Kucing, berbulu"
"Dengan rakan bersimpuh rapat, sehari suntuk gilap gangsa; Hayba bukan sebarang tempat, tempat untuk bangunkan bangsa",Salehin Bin Deros,Penggemar Pantun,Semangat,Ucapan,kan,tuk,kan,tuk,pat,sa,pat,sa,25.0,"Dengan, rakan, bangunkan, tempat, tempat,, suntuk, sehari, gilap, rapat,, bukan, untuk, bersimpuh, gangsa;, bangsa, Hayba, sebarang"
Apa di-tutop di-dalam kuali Arang bara dalam kranjang Hidop kita chuma sekali Orang muda hari-nya panjiang,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,top,ra,ta,da,li,jang,li,ang,16.0,"dalam, panjiang, muda, sekali, Hidop, di-tutop, kita, bara, di-dalam, hari-nya, kuali, chuma, Apa, kranjang, Arang, Orang"
"Susunlah guni serapat-rapat, dituas-tuas berbaris rata; Kalau tekuni semua pendapat, semakin luas pandangan kita",CG Karmin Abbas,Himpunan Pantun CG Karmin,Pendapat,Motivasi,ni,as,ni,as,pat,ta,pat,ta,25.0,"serapat-rapat,, pendapat,, berbaris, kita, semakin, luas, pandangan, Susunlah, guni, dituas-tuas, rata;, tekuni, semua, Kalau"
Buah belingai dari manila Kulit terchampak di-dalam paya Sampai pandai ku-gesek biola Kerana sayang kepada dia.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,ngai,pak,dai,yang,la,ya,la,a,21.0,"dari, dia., sayang, Buah, manila, biola, paya, Kulit, Kerana, pandai, di-dalam, belingai, Sampai, kepada, ku-gesek, terchampak"
Tuang sharbat kain pon basah Prah mari alas-alas-nya Tuan buat hati-ku susah Kemdian hari Allah balas-nya.,Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,bat,ri,at,ri,sah,nya,sah,nya,19.0,"hari, kain, Allah, basah, Tuang, hati-ku, Kemdian, alas-alas-nya, balas-nya., sharbat, Prah, Tuan, pon, mari, buat, susah"
Melor wangi di-atas peti Chempa berdahan di-julai tinggi Ku-tarek nyanyi hibor-kan hati It upon tiada tertahan lagi.,Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,ngi,han,nyi,da,ti,gi,ti,gi,21.0,"di-julai, tinggi, tertahan, Chempa, wangi, lagi., hati, Ku-tarek, tiada, nyanyi, di-atas, berdahan, hibor-kan, Melor, upon, It, peti"
Apa di-tutop di-dalam kuali Arang bara dalam kranjang Hidop kita chuma sekali Orang muda hari-nya panjiang,Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,top,ra,ta,da,li,jang,li,ang,16.0,"dalam, panjiang, muda, sekali, Hidop, di-tutop, kita, bara, di-dalam, hari-nya, kuali, chuma, Apa, kranjang, Arang, Orang"
Adek kakak sahabat handai Mari balek ketempat-nya Apa bijak apa pandai Diri-nya baik itu guna-nya.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,kak,lek,jak,ik,dai,nya,dai,nya,18.0,"ketempat-nya, bijak, baik, Diri-nya, Mari, handai, Adek, apa, pandai, itu, Apa, sahabat, balek, guna-nya., kakak"
Layang-layang di-hutan pandan Buah remia di-dalam raga Sayang-sayang tuboh dan badan Satu dunia bukan-nya harga.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,yang,a,yang,a,dan,ga,dan,ga,23.0,"raga, remia, Buah, dan, Layang-layang, Satu, di-hutan, di-dalam, bukan-nya, tuboh, dunia, harga., badan, Sayang-sayang, pandan"
Kriang acheh dari sebrang Ambil di-bawak berkarong-karong Handak menangis tiada orang Kalau nak-gila ada sekarang,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,cheh,wak,ngis,la,rang,rong,rang,rang,16.0,"dari, berkarong-karong, di-bawak, tiada, acheh, nak-gila, ada, menangis, sebrang, sekarang, Kriang, orang, Handak, Kalau, Ambil"
Batu firus mari di-selang Bangkit bersri wajah gemilang Biar kuros nampak-nya tulang Atoran bistari jangan-lah hilang.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,rus,sri,ros,ri,lang,lang,lang,lang,22.0,"hilang., jangan-lah, di-selang, mari, gemilang, wajah, Batu, kuros, bistari, tulang, firus, Atoran, Biar, nampak-nya, Bangkit, bersri"
Orang kampong orang temenggong Potong kerbau tembon-tembon Suka di-junjong susah di-tanggong Sebagi kemarau di-timpa embon.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,pong,bau,jong,rau,gong,bon,gong,bon,18.0,"kerbau, di-junjong, di-tanggong, embon., Potong, Suka, temenggong, di-timpa, kemarau, orang, tembon-tembon, kampong, Sebagi, susah, Orang"
Papan jati di-pukol arus Anak raja turon menjala Susah hati badan pon kurus Kalau tak-jaga manjadi gila.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,ti,ja,ti,ga,rus,la,rus,la,23.0,"arus, pon, kurus, tak-jaga, hati, menjala, jati, gila., Susah, manjadi, raja, Anak, badan, di-pukol, Papan, Kalau, turon"
Ambil arang di-gosok-kan lidah Ayer mata belinang-linang Jadi orang bukan-nya mudah Terlebeh susah dari-pada senang.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,rang,ta,rang,sah,dah,nang,dah,nang,22.0,"Ayer, mata, di-gosok-kan, orang, senang., belinang-linang, mudah, lidah, bukan-nya, dari-pada, arang, Jadi, Terlebeh, susah, Ambil"
Chuka datang dari-nya hulu Teban nipah pagar-pagar-kan Sedang suka berhanti dahulu Bila susah sabar-sabar-kan,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,tang,pah,ka,sah,lu,kan,lu,kan,22.0,"nipah, berhanti, sabar-sabar-kan, dahulu, hulu, suka, datang, dari-nya, pagar-pagar-kan, Sedang, Teban, Bila, Chuka, susah"
Buah kranji beraga-raga Hingggot lagi jangan di-reban-kan Sunggoh janji tak-usah di-jaga Laut jangan tuan terjon-kan,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,ji,gi,ji,ngan,ga,kan,ga,kan,22.0,"tuan, beraga-raga, Hingggot, jangan, Buah, Sunggoh, kranji, di-jaga, Laut, terjon-kan, lagi, janji, di-reban-kan, tak-usah"
Pechah layer ribot berpalu Terbang pipit masok di-kota Biar kita jaga dahulu Mahu terkena nasib kita.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,yer,pit,ta,na,lu,ta,lu,ta,23.0,"masok, nasib, kita., Terbang, dahulu, berpalu, Mahu, kita, layer, Biar, jaga, pipit, terkena, Pechah, di-kota, ribot"
Gadongan di-atas batu Mari di-tampi buang abu-nya Jangan jadi seperti kekatu Kedalam api serbu diri-nya.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,ngan,pi,di,pi,tu,nya,tu,nya,19.0,"abu-nya, kekatu, seperti, api, Mari, Kedalam, Gadongan, jadi, di-tampi, di-atas, batu, Jangan, buang, serbu, diri-nya."
Ayer gula lupa di-tudong Selimut dengan kain gebar Dengar suara badan terlindong Rasa tak-buleh di-tahan sabar.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,la,ngan,ra,leh,dong,bar,dong,bar,23.0,"suara, kain, Selimut, gula, Ayer, di-tahan, dengan, badan, sabar., terlindong, gebar, tak-buleh, di-tudong, Dengar, Rasa, lupa"
Bungah pandan betara indra Bawak abang kedeli medan Badan terlindong dengar suara Rasa terhubong nyawa di-badan.,Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,dan,bang,dong,bong,ra,dan,ra,dan,23.0,"indra, abang, Bungah, medan, Badan, dengar, di-badan., kedeli, terlindong, Bawak, betara, nyawa, suara, Rasa, terhubong, pandan"
